World_ID,Heuristic,Success,Collided,Timeout,Time_Taken(s),Nav_Metric
153,orig,True,False,False,10.5800,0.5000
153,orig,True,False,False,12.0030,0.4854
153,orig,True,False,False,10.8870,0.5000
153,orig,True,False,False,10.0530,0.5000
156,orig,True,False,False,9.7020,0.5000
156,orig,True,False,False,9.4140,0.5000
156,orig,True,False,False,9.7940,0.5000
156,orig,True,False,False,9.2130,0.5000
156,orig,True,False,False,9.5308,0.5000
159,orig,True,False,False,9.3120,0.5000
159,orig,True,False,False,9.2210,0.5000
159,orig,True,False,False,9.1497,0.4950
159,orig,True,False,False,9.3660,0.5000
159,orig,True,False,False,9.4497,0.5050
162,orig,True,False,False,19.1240,0.2826
162,orig,False,True,False,9.8340,0.0000
162,orig,False,True,False,10.2270,0.0000
162,orig,True,False,False,20.3330,0.2658
162,orig,False,True,False,9.8880,0.0000
165,orig,True,False,False,11.5020,0.4839
165,orig,True,False,False,11.5230,0.4830
165,orig,True,False,False,11.2260,0.4958
165,orig,True,False,False,11.4190,0.4874
165,orig,True,False,False,11.6360,0.4783
168,orig,True,False,False,15.3180,0.3907
168,orig,False,True,False,3.2220,0.0000
168,orig,True,False,False,15.2490,0.3925
168,orig,False,True,False,3.6880,0.0000
168,orig,True,False,False,15.3410,0.3901
171,orig,True,False,False,12.6410,0.4461
171,orig,False,True,False,10.9020,0.0000
171,orig,True,False,False,13.0410,0.4324
171,orig,True,False,False,12.8620,0.4384
171,orig,True,False,False,13.1470,0.4289
174,orig,True,False,False,11.8700,0.4579
174,orig,True,False,False,12.0430,0.4513
174,orig,True,False,False,12.0430,0.4513
174,orig,True,False,False,11.9600,0.4544
174,orig,True,False,False,11.8370,0.4592
177,orig,True,False,False,12.0750,0.5000
177,orig,True,False,False,11.8350,0.5000
177,orig,True,False,False,11.8080,0.5000
177,orig,True,False,False,21.9740,0.2979
177,orig,True,False,False,12.0080,0.5000
180,orig,True,False,False,12.5230,0.4579
180,orig,True,False,False,12.4840,0.4593
180,orig,True,False,False,12.4130,0.4619
180,orig,True,False,False,12.7140,0.4510
180,orig,True,False,False,12.5000,0.4587
183,orig,True,False,False,11.9820,0.4584
183,orig,True,False,False,12.0590,0.4554
183,orig,True,False,False,15.4410,0.3557
183,orig,True,False,False,15.2210,0.3608
183,orig,True,False,False,12.2350,0.4489
186,orig,True,False,False,12.3980,0.4783
